hour,minute,avg_kwh,slot,stress_score,stress_band
0,0,8.298809815214723,0,0.7023,high
0,30,9.923839068550368,1,1.0,high
1,0,8.831950854545454,2,0.7999,high
1,30,7.665980348894348,3,0.5863,medium
2,0,6.996999995331696,4,0.4637,medium
2,30,6.653486482800983,5,0.4008,medium
3,0,6.049656019041769,6,0.2902,low
3,30,5.42685995,7,0.1761,low
4,0,4.896147421744471,8,0.0788,low
4,30,4.8230208878378376,9,0.0654,low
5,0,4.604078623341523,10,0.0253,low
5,30,4.586888204668305,11,0.0222,low
6,0,4.589389433783784,12,0.0226,low
6,30,5.063813266093366,13,0.1095,low
7,0,4.793475429852579,14,0.06,low
7,30,4.465912777272727,15,0.0,low
8,0,5.1048034399262905,16,0.1171,low
8,30,5.452635137223587,17,0.1808,low
9,0,5.670980342997543,18,0.2208,low
9,30,5.809714986609336,19,0.2462,low
10,0,5.8034459453316956,20,0.2451,low
10,30,5.866952087346437,21,0.2567,low
11,0,5.99197666031941,22,0.2796,low
11,30,6.126556513513513,23,0.3043,low
12,0,6.161042995331695,24,0.3106,low
12,30,6.2989803429975435,25,0.3359,low
13,0,6.160661347361963,26,0.3105,low
13,30,6.102278527607362,27,0.2998,low
14,0,5.9899680969325155,28,0.2792,low
14,30,5.842868710552147,29,0.2523,low
15,0,5.62880122809816,30,0.2131,low
15,30,5.638520245276074,31,0.2148,low
16,0,5.575628219386503,32,0.2033,low
16,30,5.843613498282209,33,0.2524,low
17,0,6.150957054355828,34,0.3087,low
17,30,6.832671162576688,35,0.4336,medium
18,0,7.070489572760736,36,0.4772,medium
18,30,7.382614721104295,37,0.5344,medium
19,0,7.5318797552147245,38,0.5617,medium
19,30,7.353440492392638,39,0.5291,medium
20,0,7.390233131042945,40,0.5358,medium
20,30,7.175539877668712,41,0.4965,medium
21,0,6.886585277177914,42,0.4435,medium
21,30,6.757166871165644,43,0.4198,medium
22,0,6.3322282201226985,44,0.3419,low
22,30,6.006174232392638,45,0.2822,low
23,0,5.362761962208589,46,0.1643,low
23,30,4.740350919263803,47,0.0503,low
